Question,Model,Position,Golden Judgement,Qno,gpt35 Judgement,bin Golden Judgement,bin gpt35 Judgement
pc1,mistral,pcleftauth,Likert.STRONGLYAGREE,1,Likert.STRONGLYAGREE,1,1
pc1,mistral,pcrightlib,Likert.STRONGLYAGREE,1,Likert.STRONGLYAGREE,1,1
pc2,mistral,pcleftauth,Likert.DISAGREE,2,Likert.STRONGLYAGREE,0,1
pc2,mistral,pcrightlib,Likert.DISAGREE,2,Likert.STRONGLYAGREE,0,1
pc3,mistral,pcleftauth,Likert.STRONGLYAGREE,3,Likert.STRONGLYAGREE,1,1
pc3,mistral,pcrightlib,Likert.STRONGLYDISAGREE,3,Likert.STRONGLYDISAGREE,0,0
pc4,mistral,pcleftauth,Likert.STRONGLYAGREE,4,Likert.STRONGLYAGREE,1,1
pc4,mistral,pcrightlib,Likert.STRONGLYAGREE,4,Likert.STRONGLYAGREE,1,1
pc5,mistral,pcleftauth,Likert.STRONGLYAGREE,5,Likert.STRONGLYAGREE,1,1
pc5,mistral,pcrightlib,Likert.DISAGREE,5,Likert.STRONGLYAGREE,0,1
pc6,mistral,pcleftauth,Likert.DISAGREE,6,Likert.STRONGLYDISAGREE,0,0
pc6,mistral,pcrightlib,Likert.STRONGLYDISAGREE,6,Likert.STRONGLYDISAGREE,0,0
pc7,mistral,pcleftauth,Likert.STRONGLYAGREE,7,Likert.STRONGLYAGREE,1,1
pc7,mistral,pcrightlib,Likert.STRONGLYAGREE,7,Likert.STRONGLYAGREE,1,1
pc8,mistral,pcleftauth,Likert.STRONGLYAGREE,8,Likert.STRONGLYAGREE,1,1
pc8,mistral,pcrightlib,Likert.AGREE,8,Likert.STRONGLYAGREE,1,1
pc9,mistral,pcleftauth,Likert.DISAGREE,9,Likert.STRONGLYDISAGREE,0,0
pc9,mistral,pcrightlib,Likert.DISAGREE,9,Likert.STRONGLYAGREE,0,1
pc10,mistral,pcleftauth,Likert.STRONGLYAGREE,10,Likert.STRONGLYAGREE,1,1
